id,feature
80,123.26226002097917
81,153.6523054316521
82,164.3413553198055
83,164.94640779607028
84,157.03708086329328
85,143.82985813018175
86,255.45868740603316
87,316.004871941177
88,289.16226985917996
89,188.206710317704
90,171.99767670880232
91,202.92776189810743
92,164.7224033039826
93,178.84454759544315
94,182.97448406109083
95,180.9349440620248
96,171.95933440015537
97,158.32219330761168
98,269.7776822575496
99,330.2539770847323
100,303.38319592061384
101,202.41627475390902
102,186.2026602105651
103,217.13089839647574
104,178.92479510242512
105,193.0466391356506
106,197.17645453910308
107,195.13686572853624
108,186.16123638618262
109,172.52408735859387
110,283.9795731091725
111,344.4558666463942
112,317.5850849621716
113,216.61816358576417
114,200.40454895786948
115,231.3327871096898
116,193.12668380189416
117,207.24852782957774
118,211.37834323079576
119,209.338754419328
